지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 시각(hhmi),평균 풍속(m/s),평균 상대습도(%),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),평균 지면온도(°C),평균 30cm 지중온도(°C),5.0m 지중온도(°C)
184,2014-06-01,22.4,19,559,25,1253,1.32,0.1,2325,0.1,2245,0.1,11.5,2259,5.3,2133,1.8,65,1100,2.47,14.32,0,0,0,0,25,24.7,15.7
184,2014-06-02,22.7,19.3,955,24.9,2351,9.07,0.8,544,1.1,941,2.4,31.8,1304,13.5,1535,6.5,67.8,1500,2.55,13.55,0,0,0,0,23,23.9,15.9
184,2014-06-03,20.6,19.3,2336,25.1,50,2.07,0,0,0,0,0,10.7,46,6,511,2.5,85.5,900,1.62,8.41,0,0,0,0,22.6,23,15.8
184,2014-06-04,19.6,18.5,358,20.5,1622,8.08,0.2,2140,0.3,2101,0.5,10.1,1707,5.1,1716,2.6,87.8,900,1.11,4.96,0,0,0,0,20.6,22.4,15.8
184,2014-06-05,20.9,18.8,531,24,1338,2.98,0,0,0,0,0,6.9,110,3.9,116,2.1,82.8,1300,2.79,17.67,0,0,0,0,25.3,22.2,15.8
184,2014-06-06,20.9,19,537,23.7,1523,0,0,0,0,0,0,6.7,1303,4.9,1259,2.1,84.9,1300,3.47,23.84,0,0,0,0,29.8,23.2,15.8
184,2014-06-07,20.6,18.3,528,22.9,1313,0,0,0,0,0,0,4.9,1022,3.6,1002,1.9,80.3,1000,2.53,19.87,0,0,0,0,26.9,24,15.8
184,2014-06-08,20.9,18.4,623,23.2,1519,0,0,0,0,0,0,9.3,1408,6.4,1355,2.6,76.3,1200,2.97,23.37,0,0,0,0,27.7,24.2,15.8
184,2014-06-09,21.2,19.1,240,23.9,1257,0,0,0,0,0,0,11,1357,6.5,1145,3.3,79.5,1400,3.11,20.37,0,0,0,0,30,24.4,15.8
184,2014-06-10,21.4,20,312,23.6,1144,2.03,0,0,0,0,0,11.1,1530,5.3,1127,3.1,84.9,1100,1.71,12.15,0,0,0,0,25.4,24.3,16.4
