지점					spot
일시					date
평균기온(°C)				meantp
최저기온(°C)				mintp
최저기온 시각(hhmi)			mintptime

최고기온(°C)				maxtp
최고기온 시각(hhmi)			maxtptime
강수 계속시간(hr)			precipitationtime
10분 최다 강수량(mm)			max10pre
10분 최다강수량 시각(hhmi)		max10pretime

1시간 최다강수량(mm)			maxhourpre
1시간 최다 강수량 시각(hhmi)		maxhourpretime
일강수량(mm)				dayprecipitation
최대 순간 풍속(m/s)			maxmomentwindvel
최대 순간풍속 시각(hhmi)		maxmomentwindveltime

최대 풍속(m/s)				maxwindvel
최대 풍속 시각(hhmi)			maxwindveltime
평균 풍속(m/s)				meanwindvel
평균 상대습도(%)			meanrelativehumedity
1시간 최다일사 시각(hhmi)		maxhoursolarradiationtime

1시간 최다일사량(MJ/m2)			maxhoursolarradiationvolume
합계 일사(MJ/m2)			sumsolar
일 최심신적설(cm)			daydeepsnowcm
일 최심신적설 시각(hhmi)		daydeepsnowtime
일 최심적설(cm)				alldaydeepsnow

일 최심적설 시각(hhmi)			alldaydeepsnowtime
평균 지면온도(°C)			meangroundtp
평균 30cm 지중온도(°C)			meanground30tp
5.0m 지중온도(°C)			meanground500tp

